# Rime user dictionary
#@/db_name	wanxiang
#@/db_type	userdb
#@/rime_version	1.10.0
#@/tick	31620
#@/user_id	b05c24aa-c4d6-4bd9-842a-ee5398eb78ba
a 	啊	c=5 d=2.74676 t=31620
ba 	吧	c=50 d=10.2566 t=31620
bei 	呗	c=16 d=5.40969 t=31620
biàn 	变	c=5 d=2.95247 t=31620
biàn chà 	变差	c=2 d=1.29728 t=31620
biàn chéng 	变成	c=6 d=3.31313 t=31620
biàn de 	变得	c=3 d=2.41791 t=31620
biàn dào 	便到	c=1 d=0.76338 t=31620
biàn gēng 	变更	c=1 d=0.904837 t=31620
biàn huà 	变化	c=11 d=2.62195 t=31620
biàn hù 	辩护	c=2 d=1.9248 t=31620
biàn hǎo 	变好	c=1 d=0.856415 t=31620
biàn liàng 	变量	c=9 d=3.48176 t=31620
biàn lì 	遍历	c=1 d=0.718924 t=31620
biàn shǒu 	辩手	c=1 d=0.895834 t=31620
biàn wéi 	变为	c=1 d=0.900325 t=31620
biàn zhì 	变质	c=2 d=1.89335 t=31620
bié 	别	c=1 d=0.951229 t=31620
bié chě 	别扯	c=1 d=0.955997 t=31620
bié cuò guò 	别错过	c=1 d=0.852144 t=31620
bié lái 	别来	c=1 d=0.96079 t=31620
bié rén 	别人	c=11 d=3.83986 t=31620
bié wàng le 	别忘了	c=1 d=0.985111 t=31620
bié yòng 	别用	c=1 d=0.869358 t=31620
bié yǎo wǒ 	别咬我	c=1 d=0.878095 t=31620
biān 	边	c=4 d=2.33708 t=31620
biān biān jiǎo jiǎo 	边边角角	c=1 d=0.814648 t=31620
biān chéng 	编程	c=5 d=3.87313 t=31620
biān de 	编的	c=1 d=0.70822 t=31620
biān hào 	编号	c=4 d=2.41127 t=31620
biān ji 	编辑	c=4 d=2.2277 t=31620
biān jiè 	边界	c=5 d=3.49144 t=31620
biān jí qì 	编辑器	c=2 d=1.87435 t=31620
biān kuàng 	边框	c=1 d=0.99005 t=31620
biān mǎ 	编码	c=4 d=2.43753 t=31620
biān mǎ qì 	编码器	c=1 d=0.603506 t=31620
biān shàng bān 	边上班	c=1 d=0.597501 t=31620
biān xiě 	编写	c=2 d=1.63238 t=31620
biān yuán 	边缘	c=1 d=0.516852 t=31620
biān yán 	边沿	c=1 d=0.878095 t=31620
biān yì 	编译	c=7 d=4.03382 t=31620
biāo chū 	标出	c=0 d=0.0634448 t=31620
biāo dìng 	标定	c=25 d=8.75509 t=31620
biāo dìng shí 	标定时	c=1 d=0.609571 t=31620
biāo jì 	标记	c=2 d=1.58449 t=31620
biāo jì wéi 	标记为	c=1 d=0.83527 t=31620
biāo qiān 	标签	c=2 d=1.57002 t=31620
biāo tí 	标题	c=5 d=3.41646 t=31620
biāo xiàn 	标线	c=1 d=0.970446 t=31620
biāo zhì 	标志	c=1 d=0.794534 t=31620
biāo zhù 	标注	c=1 d=0.932394 t=31620
biāo zhǔn 	标准	c=4 d=3.03092 t=31620
biāo zhǔn bǎn 	标准版	c=3 d=2.50973 t=31620
biǎn yì cí 	贬义词	c=2 d=1.81411 t=31620
biǎo 	表	c=2 d=1.65493 t=31620
biǎo míng 	表明	c=1 d=0.980199 t=31620
biǎo qíng 	表情	c=2 d=1.95065 t=31620
biǎo xiàn 	表现	c=3 d=1.89089 t=31620
biǎo yáng 	表扬	c=1 d=0.895834 t=31620
bà dì 	耙地	c=3 d=1.77053 t=31620
bà le 	罢了	c=1 d=0.918512 t=31620
bàn 	办	c=3 d=2.2949 t=31620
bàn de 	办的	c=1 d=0.927743 t=31620
bàn diào zi 	半吊子	c=1 d=0.985111 t=31620
bàn dǎo tǐ 	半导体	c=1 d=0.965606 t=31620
bàn fǎ 	办法	c=4 d=2.69619 t=31620
bàn gōng 	办公	c=0 d=0.122422 t=31620
bàn gōng bù kǎo lǜ 	办公不考虑	c=1 d=0.650509 t=31620
bàn gōng qū 	办公区	c=1 d=0.985111 t=31620
bàn gōng shì 	办公室	c=1 d=0.970446 t=31620
bàn gōng shǔ biāo 	办公鼠标	c=1 d=0.970446 t=31620
bàn jīn 	半斤	c=2 d=1.90737 t=31620
bàn nián 	半年	c=3 d=2.11262 t=31620
bàn nián yī gǎi kuǎn 	半年一改款	c=1 d=0.839457 t=31620
bàn yǒu 	伴有	c=1 d=0.88692 t=31620
bàng 	棒	c=2 d=1.26398 t=31620
bào 	报	c=9 d=2.49236 t=31620
bào chū lái 	爆出来	c=1 d=0.726149 t=31620
bào cuò 	报错	c=6 d=3.3112 t=31620
bào cuò le 	报错了	c=1 d=0.955997 t=31620
bào dào 	报道	c=1 d=0.918512 t=31620
bào dǎ 	暴打	c=1 d=0.839457 t=31620
bào gào 	报告	c=6 d=3.37305 t=31620
bào jǐng 	报警	c=2 d=1.21118 t=31620
bào le 	报了	c=1 d=0.465334 t=31620
bào lùn 	暴论	c=1 d=0.891367 t=31620
bào míng 	报名	c=3 d=2.16039 t=31620
bào wén 	报文	c=1 d=0.767205 t=31620
bào yí xià 	报一下	c=1 d=0.895834 t=31620
bá diào 	拔掉	c=2 d=1.4548 t=31620
bá kǎ 	拔卡	c=1 d=0.694196 t=31620
bái 	白	c=1 d=0.822834 t=31620
bái huā huā 	白花花	c=2 d=1.91684 t=31620
bái jiǔ 	白酒	c=1 d=0.99005 t=31620
bái máng 	白忙	c=1 d=0.748264 t=31620
bái míng dān 	白名单	c=2 d=1.80445 t=31620
bái tiáo 	白条	c=2 d=1.88957 t=31620
bái yè 	白夜	c=1 d=0.852144 t=31620
bái yín 	白银	c=1 d=0.904837 t=31620
bái é 	白俄	c=3 d=1.70569 t=31620
bái é 	白鹅	c=1 d=0.865022 t=31620
bái é luó sī 	白俄罗斯	c=1 d=0.873716 t=31620
bèi 	倍	c=3 d=2.18403 t=31620
bèi 	被	c=23 d=5.50576 t=31620
bèi dòng 	被动	c=4 d=2.38812 t=31620
bèi fèn 	备份	c=9 d=4.47969 t=31620
bèi gào 	被告	c=1 d=0.451582 t=31620
bèi hòu 	背后	c=2 d=1.35729 t=31620
bèi jiào zuò 	被叫做	c=1 d=0.831104 t=31620
bèi jié duàn 	被截断	c=1 d=0.980199 t=31620
bèi jū liú 	被拘留	c=1 d=0.891367 t=31620
bèi jǐng 	背景	c=1 d=0.970446 t=31620
bèi miàn 	背面	c=3 d=1.57028 t=31620
bèi píng 	背屏	c=2 d=1.52744 t=31620
bèi rén 	被人	c=1 d=0.733447 t=31620
bèi shā 	被杀	c=1 d=0.985111 t=31620
bèi shōu dào 	被收到	c=1 d=0.913931 t=31620
bèi suǒ 	被锁	c=1 d=0.771052 t=31620
bèi xǐ nǎo 	被洗脑	c=1 d=0.491644 t=31620
bèi zhù 	备注	c=1 d=0.582748 t=31620
bèi zì jǐ 	被自己	c=1 d=0.527293 t=31620
bì 	必	c=1 d=0.904837 t=31620
bì bèi 	必备	c=1 d=0.946485 t=31620
bì jìng 	毕竟	c=1 d=0.394554 t=31620
bì miǎn 	避免	c=7 d=1.9769 t=31620
bì rán 	必然	c=1 d=0.852144 t=31620
bì shè 	毕设	c=1 d=0.951229 t=31620
bì shèng kè 	必胜客	c=1 d=0.937067 t=31620
bì shì 	必是	c=1 d=0.97531 t=31620
bì shā jì 	必杀技	c=6 d=5.0581 t=31620
bì xū 	必须	c=1 d=0.980631 t=31620
bì xū shēng jí 	必须升级	c=1 d=0.423162 t=31620
bì xū yào 	必须要	c=2 d=1.43118 t=31620
bì yào 	必要	c=6 d=2.09419 t=31620
bì yào shí 	必要时	c=1 d=0.794534 t=31620
bì yè 	毕业	c=1 d=0.677056 t=31620
bì zhàng 	避障	c=6 d=3.31863 t=31620
bì zhōng 	必中	c=1 d=0.951229 t=31620
bì zhǐ 	壁纸	c=2 d=1.67391 t=31620
bìng 	并	c=25 d=4.72719 t=31620
bìng biāo chū 	并标出	c=1 d=0.637628 t=31620
bìng bù 	并不	c=0 d=0.0985111 t=31620
bìng bù cún zài 	并不存在	c=2 d=1.04014 t=31620
bìng bù kāi fàng 	并不开放	c=1 d=0.99005 t=31620
bìng bù zhī chí 	并不支持	c=1 d=0.67032 t=31620
bìng bú shì 	并不是	c=2 d=1.63474 t=31620
bìng bú suàn rén 	并不算人	c=1 d=0.970446 t=31620
bìng jiāng 	并将	c=1 d=0.882497 t=31620
bìng méi yǒu 	并没有	c=6 d=2.36521 t=31620
bìng qiě 	并且	c=5 d=2.47159 t=31620
bìng xíng chéng 	并形成	c=1 d=0.927743 t=31620
bìng yǐ 	并以	c=1 d=0.810584 t=31620
bó 	博	c=1 d=0.96079 t=31620
bó chē 	泊车	c=1 d=0.826959 t=31620
bó kè 	博客	c=1 d=0.99005 t=31620
bó lái 	舶来	c=0 d=0.0582748 t=31620
bó lái cí 	舶来词	c=1 d=0.585669 t=31620
bó shì 	博士	c=1 d=0.937067 t=31620
bó zhǔ 	博主	c=2 d=1.59625 t=31620
bó zi 	脖子	c=1 d=0.985111 t=31620
bù 	不	c=20 d=6.21631 t=31620
bù bǐ 	不比	c=1 d=0.509157 t=31620
bù cháng 	步长	c=1 d=0.941764 t=31620
bù chóng qǐ 	不重启	c=1 d=0.88692 t=31620
bù chā diàn 	不插电	c=1 d=0.937067 t=31620
bù chāi 	不拆	c=1 d=0.927743 t=31620
bù chāo guò 	不超过	c=1 d=0.985111 t=31620
bù chōng tū 	不冲突	c=2 d=1.2172 t=31620
bù chū mén 	不出门	c=2 d=1.88824 t=31620
bù chū xiàn 	不出现	c=1 d=0.582748 t=31620
bù cún zài 	不存在	c=1 d=0.965606 t=31620
bù duī liào 	不堆料	c=1 d=0.913931 t=31620
bù duō 	不多	c=1 d=0.873716 t=31620
bù dá biāo 	不达标	c=2 d=1.34541 t=31620
bù dā gā 	不搭嘎	c=1 d=0.99005 t=31620
bù dān wù 	不耽误	c=1 d=0.965606 t=31620
bù dāng 	不当	c=1 d=0.927743 t=31620
bù děi 	不得	c=2 d=0.90002 t=31620
bù dōu shì 	不都是	c=1 d=0.506617 t=31620
bù dǎ zhuǎn xiàng 	不打转向	c=1 d=0.99005 t=31620
bù dǒng 	不懂	c=6 d=2.63085 t=31620
bù dǒng jiù wèn 	不懂就问	c=1 d=0.882497 t=31620
bù fen 	部分	c=35 d=6.35789 t=31620
bù fáng 	不妨	c=0 d=0.0650509 t=31620
bù fáng fàng 	不妨放	c=1 d=0.65377 t=31620
bù fáng ài 	不妨碍	c=2 d=1.41715 t=31620
bù fú hé 	不符合	c=1 d=0.831104 t=31620
bù fā 	不发	c=1 d=0.96079 t=31620
